,Sentiment,CleanTweet
0,0,what really annoys me is when i go to the supermarket and i see families what the hell are you all doing there why would you risk your children s lives i thought this was meant to be banned
1,0,right now we may not be able to sedate people who need to be intubated because prices for one dose of the sedative rose from 1 to 20 this is more than sad its disgusting covid19
2,0,linkedin on thursday said it will offer free job postings to companies in healthcare supermarket warehousing freight delivery and disaster relief nonprofits to accelerate the hiring process for critical roles to fight covid19 coronavirus
3,0,update of working in retail during covid19 and being in a store that will have to stay open have been told that if travel is not an issue that im wanted to work 6 days a week with 810 hour days if not longer since a lot of staff might have to self isolate
4,0,i reckon theyll do a movie about corona virus one day and itll be really boring covid19 coronavirus covid19 covid19sa coronavirusuk coronavid19 viruscoronaupdate updateviruscorona panicbuying coronavirususa coronaupdatesinindia toiletpaper toiletpaperpanic lol
5,0,i can understand the initial panic buy when this kicked off but why the fuck are the same idiots still panic buying all the food every fucking day surely you can see theres no supply issue selfish cuntsbuy what you need covid19
6,0,ireland closes its pubs the grocery store sold out of cheese nips and now covid 19 is trying to take tormund the only decent part of season 8 giantsbane from us i feel personally attacked by this virus 19
7,0,day 1 of lockdown complete im broke as a joke from online shopping and contemplate my an undercut well see how the next 13 days go covid19 staysafestayhome stayathomechallenge queersinquarantine
8,0,well i finally set up my work from home office and almost got into a fight over toilet paper at the grocery store today im finally in the right frame of mind for the pandemic coronapocalypse covid19 toiletpaperapocalypse
9,0,new ecommerce data survey of consumers pinpoints changing online shopping behaviors and priorities amidst global crisis
10,0,when you forget your gloves checking out at the grocery store hold up hon ill be right backand return with a bag from produce bettersafethansorry covid19
11,0,supermarket lines are long on the weekend so i went to a japanese one no lines coronavirus quarantinelife covid19 coronavirususa coronavirusnewyork newyorklockdown newyork pandemic hmart
12,0,measures to slow the spread of the coronavirus have destroyed demand for fuel and driven down oilprices straining budgets of oil producers and hammering the us shale industry which is more vulnerable to low prices due to its higher costs oott commodity oil
13,0,it is now to the point she is becoming depressed as her food stock drops off amp now shes not eating well she didnt panic buy and now cant get food coronavirus keyworker
14,0,look at these cheap oil and gas prices when i have no where to go coronavirus
15,0,food banks shift their distribution model in response to covid19 pandemic and skyrocketing demand
16,0,the consumer is 65 of economy no economy in the world is more dependent on consumer spending this is not good news for us gt gt gt more than 50 of americans cut back on their spending as they grapple w uncertainties regarding bankrate survey
17,0,although panic stockpiling may have left shelves empty there may be some silver linings in the coronavirus cloud such as a rise in online grocery shopping deliveries drivethrus and services like postmates
18,0,just got back from the grocery store and the older i getthe less life in prison sounds like a deterrent covid2019 panicbuying
19,0,australians have one less bill to worry about this month as energy providers roll out new coronavirus support measures for customers facing hardship
20,0,fox news contributor bill bennett compares coronavirus to the flu claiming that this was not and is not a pandemic
21,0,vodka to handsanitizer pernodricard in fort smith tweaks process to aid in coronavirus fight news times record fort smith ar
22,0,math problem brian makes 1 trip to the grocery store wearing 1 mask and 2 gloves there are 200 people in the store 70 percent of them are wearing 0 masks and 0 gloves and passing within less than 3 ft of each other how many more people will get infected with covid19
23,0,went to the grocery store toilet paper shelves are empty but the cheese is fully stocked problem solved toiletpaperapocalypse coronapocalypse covid19
24,0,as the covid19 crisis pushes the food business into unkown terrain the fragility amp flaws in our globalised food systems are revealedthe longer the supply networks the more vulnerable they become we need place based food economies foodsystems
25,0,experts dont panic even with the coronavirus outbreak theres plenty of food in supply chain
26,0,researchers in finland released a troubling animation showing how droplets from somebody coughing can hang in the air and spread through a supermarket coronavirus stayhome stayhomestaysafe
27,0,its a story thats becoming alltoofamiliar daniel allen had to pivot when gyms were forced to close so he went to a grocery store in order to provide for his wife and children khou
28,0,hul heard on news that hul is going to increase prices of soap products amid health crisis totally unacceptable and unethical take inspiration from 3m that has not increased prices for masks hul coronavirus please explain you decision
29,0,if i dont die from covid19 its because i will die of starvation because stupid irrational idiots are buying all the food even though they have enough to stock for theyre nonexistent grandkids that they wont have to hell with humanity and the coronavirus
30,0,response to covid2019 and the statewide shut down is disgusting 2nd amp charles is not a grocery store pharmacy or hospital it is a secondhand pawn shop
31,0,i reckon if this coronavirus panic buying carries on we should go to rationing food items that you actually need that will also solve the problem of obesity and greed at the same time
32,0,ahah you should make a video called buying everything in my fans online shopping carts cause ii do be struggling cause of corona coronavirus
33,0,its awful really worried about my parents who are in their 80s amp in poor health they usually shop online but cannot get a delivery slot i cant help as havent even been able to get my own usual shopping coronacrisis panicbuy
34,0,nj coronavirus man charged with domesticterrorism for coughing on a clerk in a grocery store government demanded the domesticterrorism man coughed on clerk said oh btw i have coronavirus
35,0,8m online shopping for groceries during stayathome reduce exposure of senior citizens to covid19 waiting in line at grocery stores provide additional income for people in financial hardship covid19 grocerystores stayathome groceryshopping
36,0,now i am gonna have to go to supermarket at 6am for my normal groceries and probably be on someones customer panic buying video covid2019
37,0,shoppers spend 316m on groceries in ireland amid covid 19 panic buying
38,0,it is a shame that allows its sellers to exploit the coronavirus pandemic by selling essential handsanitisers at inflated prices
39,0,grocery store workers are on the front line of the coronavirus amp should be given hazard pay amp given the proper ppe to protect themselves as they continue to work during this crisis at least 24 shoprites in nj have workers sickened with covid19
40,0,supermarket giants morrisons and asda have reduced their fuel prices by 12p per litre for petrol and 8ppl for diesel as the coronavirus covid19 crisis continues coronavirus fuel price falls as morrisons and asda introduce unprecedented cuts
41,0,source ucsfberkeley scientists 4070 of americans will get infected by coronavirus thats roughly 160m people using 1 death rate this translates info 16m people dead this will take 1218mos to play out the worst has yet to come stock up on water food meds etc
42,0,since the coronavirus has started i have been yelled at by a crazy woman following me around the store yelled at by a crazy drunk man in a grocery storeheard just recently that a old lady whacked a walmart employee in the face with her pocket book and got arrested
43,0,we also find that a 6wk coronavirus lockdown in a given 3month period cuts consumer spending by 916 and a 12wk lockdown cuts it by 1832 fullyear effects depend on how quickly postponed consumption revives as outbreaks come under control
44,0,is consumer privacy dead and can it be revived governments expanded motioning of people with electronic surveillance facial recognition and biosecurity sensors to fight the coronavirus pandemic here are examples of government actions in corona times
45,0,a girl trying to open the door of the supermarket with her feet the cashier throwing me the credit card reader as a fisherman in bali the other sees me and hides behind a pole what the fuck is going on fuckers take a fucking breath coronavirus
46,0,nah fuck that winny c lets leg it down to lidl to sweep their shelves of stock and fuck everyone else and another thing im not staying indoors im supposed to be going out tomorrow night 2nd bit is actual words from the food hole of some bint earlier covid19
47,0,quarantine day 8 walmart employees and inhabitants seem to have developed an immunity to covid19 due to initial consumer panic inadequate market response and general idiocy corona beer is now the only alcoholic beverage available on store shelves may god save us all
48,0,scenes from grocery store battle ground part 1 this was sams club in riverview fl nationalemergency coronapocalypse covid19 covid19 coronavirus
49,0,whitehouse americans should avoid groceryshopping as coronavirus hits apex via this might mean the toiletpaper shortage will end
50,0,chaos at the market this morning 7am and people everywhere price gouging is rampant usual meat shop cost me more than double could be worse at least i can still afford to pay the prices feel for those who cant covid19
51,0,deputy pm somkid no shortage of consumer products during covid 19
52,0,heres an idea instead of greedy panic buying food what about doing your normal shop and self imposed rationing just cut down on what youd normally eat in a day have i just invented the covid19 diet covid19uk ukcoronavirus diet panicbuying
53,0,guess is among the retail brands hurt by recent store and mall closures the denimmakers market cap has plunged 50 since the start of the coronavirus pandemic find out how these brands are approaching business decisions during this health crisis
54,0,not only mobile phone providers debbie we are in a lock down meaning we cant go out have sent me a letter saying they are putting up their prices for my monitoring alarm system as from may coronavirus
55,0,nothing like a panic in the supermarket my lord worlds gone mad canceleverything covid19 dunnes
56,0,after queuing to get into the supermarket i can now see what the issue is most people waiting standing 2m apart then the odd idiot just strolls over leans across your trolley and gets what they want its not difficult to use a brain cell for 10 minutes socialdistancing
57,0,elderly people will be disproportionately affected by the virus please sign up to help deliver food and resources to people who will have a hard time getting them during this time of panic covid19 canceleverything atlanta
58,0,us agriculture can it handle coronavirus labor shortages and panic buying
59,0,workers at believe that the coronavirus poses no risk of supplies of fresh produce running out in malaga any time soon there is enough food for us all writes
60,0,stock prices will crater if you return people to work during a clear spike in infectionsbeyond moronicthis sounds like an idea from someone that managed to bankrupt casinoscovid19 coronavirus covid19 trumpreces
61,0,i actually caught myself reflecting on what supermarket panic buying would have looked like before toilet paper was invented selfisolation coranovirus covid19
62,0,this just the crap we need in a crisis its not right when many are suffering for selfish greedy people to exploit
63,0,im struggling with this social distancing im a store manager for a supermarket where there are no customer restrictions customers are still using cash etc and its busier than its ever been yet i cant go see my mum on mothers day socialdistancing covid19 coronavirus
64,0,chicago we need some washing stations in public spaces instead fighting for sanitizer if africa have it we can just saying coronavirus covid19 usa
65,0,organized crime rollout coronavirus toiletpaper toiletpaperapocalypse toiletpapershortage toiletpaper comics cartoon humor humorcoronavirus funny
66,0,dont mean to bore people with my food lion trips every 10 days or so but other than the handful of people working at the post at night thats my only sort of personal contact with humans in the covid19 world bread back in stock cornflakes back in stock
67,0,a disabled woman in houston texas shot and killed an alleged home invader
68,0,and seriously leave your kids home if you are going to the grocery store they run around and touch everything and clearly have no concept of social distance covid19 covid19
69,0,crazy lines at the supermarket coronona covid19
70,0,demand for wills has soared in the past month after fears sparked people into getting their affairs in order eg solicitors at are now receiving 2 000 requests per week up from just 700 before the outbreak
71,0,you can help the lagos food bank meet the increased demand for food assistance amid the covid19 crisis by donating below this is an unusual and unprecedented time we are deeply concerned about the impact of a
72,0,insane maccabi healthcare provider says 38 of bnei brak have covid19 bennett toured a supermarket there this morning and shortly afterwards his daily press conference was cancelled
