variety,description
Bordeaux-style Red Blend,"This structured wine has 25-year old vines as its basis. It is concentrated and dense as well as bringing out the ripe berry fruits that are typical of 2012. With the structure and acidity well in place, this wine will age. Drink from 2017."
Bordeaux-style Red Blend,"This is a great wine. It has all the elements in place to produce a wine that will last for years: powerful fruit, rich tannins and a structure that is built to last. This is elegant, impressive and concentrated. Almost entirely Cabernet Sauvignon, the grape gives the wine its fruit and its tannins. Drink from 2028."
Bordeaux-style Red Blend,"This is a fruity, Cabernet Sauvignon-dominated wine, with tannins that support and balance the black currant flavor. Wood aging lightly brushes the structure."
Bordeaux-style Red Blend,"Merlot makes up three quarters of this wine with the rest Cabernets Franc (17%) and Sauvignon. The Franc shows itself, with aromas of lightly leafy herbs that are followed by tire rubber, anise, vanilla and cherry. The cranberry and cherry flavors are sweet, with rustic tannins backing them up."
Bordeaux-style Red Blend,"This wine shows extraction, new wood and firm tannins. What it also has is the fruit weight to sustain all this. Given 4–5 years, the wine's richness and smoky flavors will come together with the black currant fruit."
Bordeaux-style Red Blend,"Smooth and rich, this has fine black and red cherry flavors, along with structured, dry tannins. There is a spice note from the wood aging, which is balanced by the acidity. The finish has a fine, generous texture. Give this wine at least four years."
Bordeaux-style Red Blend,"While this Stephané Derenoncourt wine has dry tannins, it also has ripe fruit and blackberry flavors. Concentrated and firm for now, from 18 months in barrel, it will develop well to give a rich wine in the future. Drink from 2019."
Bordeaux-style Red Blend,"A blend of 68% Cabernet Sauvignon and 32% Merlot, this offers aromas of high-toned red fruit, French-oak spice and herbs that lead to luxurious but still in-check dark-fruit flavors. Tart black-tea accents persist on the finish."
Bordeaux-style Red Blend,"Very intense wine, packed with dark tannins, solid and powerful. It is leavened with great perfumes, while the overall effect is dark, brooding and concentrated."
Bordeaux-style Red Blend,"Dating back to the early Middle Ages, the estate is based around an ancient chateau. The wine, from old vines, is structured and dense with firm tannins and ripe black-plum fruits. It shows fine acidity at the end. Drink from 2019."
Bordeaux-style Red Blend,"91-93 Powerfully tannic wine, the dryness balanced with sumptuous fruit. The wine shows balance, although the tannins are a major element."
Bordeaux-style Red Blend,"A rich, bold wine full of wood flavors that are already well integrated with the ripe fruit and solid tannins. The wine is dense, while having a surface polish of smooth fruitiness. Give the wine 3–5 years."
Bordeaux-style Red Blend,"This wine shows mint aromas and big black-fruit flavors. With high toast wood aging, it feels extracted, with bitter chocolate paralleling the blackberry fruits. It has considerable power and density and needs aging. Drink from 2017."
Bordeaux-style Red Blend,"This annual study of Pomerol by the longtime California producer is a bit reserved and nearly austere on the nose, slowly revealing black coffee bean, tar, elderberry and herbs. Crushed herbs and bittersweet chocolate show once sipped, giving slight spice to the dense elderberry and blueberry fruit. It's still a bit wound-up, so drink 2018–2028."
Bordeaux-style Red Blend,"Fruity and spicy, this is a finely wrought wine. Structured and concentrated, it will develop well, giving a solid wine with tannins as well as blackberry fruits. Drink this Sébastian and Nicolas Carreau wine from 2019."
Bordeaux-style Red Blend,"Blending Cabernet with 33% Petit Verdot might seem like folly indeed but it works on this wine. The aromas of flowers, vanilla and spice are quite reticent while the dark fruit flavors pack a well-balanced punch, with firm tannins and spritely, mouthwatering acids capturing the attention."
Bordeaux-style Red Blend,"Mint and eucalypt aromas set the scene for a modern, polished wine, packed with wood tannins as well as ripe black fruits. Currently, the tannins are winning giving a wine that is dark, structured and dry. So give it at least five years."
Bordeaux-style Red Blend,"This soft, ready-to-drink wine is all about black-currant fruitiness, with only the lightest of tannins. Juicy, fresh acidity finishes an attractive wine."
Bordeaux-style Red Blend,"With its high proportion of Merlot, this is a slinky, rich wine, smooth and ripe. Yes, there are tannins, but the jammy fruit softens the dark corners. It should age, but is not for the long-term."
Bordeaux-style Red Blend,"Crisp fruit dominates this second wine from Durfort Vivens. It has tannins, tight acidity as well as the potential for further aging. Spice and wood flavors finish the wine on a firm note. Drink from 2018."
Bordeaux-style Red Blend,"Aromas of black tar, chocolate and berries lead to a wine that is so effortlessly delicious that it's easy to forget the power the Merlot gives it. The center is round, but dark, filled with sweetness; the outer layers are full of red jelly and toast. There are tannins, but they, too, are sweet."
Bordeaux-style Red Blend,"This is a Cabernet-based Bordeaux blend, and it's very good, especially for the price. Smooth and soft, it offers lush blackberry, red currant, cherry, chocolate and herb flavors that are drinking well now."
Bordeaux-style Red Blend,"There is plenty of wood, both in aromas and to taste. What is worrying is the dominance of the wood over the relatively light fruit character. There are just hints of Cabernet black currants, but then the wood closes in. It needs 3–4 years to come together."
Bordeaux-style Red Blend,"On this blend of 79% Cabernet Sauvignon and 21% Petit Verdot from Adelaida Springs Ranch, iron-laced, gamy scents lead the nose, which also picks up aromas of elderberry and oak smoke. Plums and other purple fruit show on the palate, along with black licorice and strong but well-integrated tannins."
Bordeaux-style Red Blend,"In this broad wine, the grapes have been harvested ripe and juicy. It has a fresh acidity typical of the vintage. The red berry and black currant fruit flavors are forward and well balanced, with a crisp aftertaste. Drink from 2016."
Bordeaux-style Red Blend,"Winemaker: Abrie Beeslaar. Always a stunner, in both regular release as well as the CWG form, Kanonkop's Paul Sauer Bordeaux-style blend is bold and concentrated, with tremendous potential for long-term aging. Made from 74% Cabernet Sauvignon, 17% Merlot and 9% Cabernet Franc, it's brimming with notes of cassis, licorice root and black-fruit preserves, all buoyed by ample acidity and a pronounced mentholated-herb lift. Bittersweet cocoa, char and chicory unfold on the back of the black fruit-skin fueled finish. Robust, full and firm, drink 2020–2026."
Bordeaux-style Red Blend,"A raisiny and ultraripe Bordeaux-style blend, two-thirds Cabernet Sauvignon. It has apparently been given a lot of time in heavily-toasted barrels, and the layers of smoke, espresso, cinnamon and tobacco dominate. A wine for those who like the blockbuster, oaky style."
Bordeaux-style Red Blend,"With some good concentration and hints of the wood aging, this ripe, full wine has both fruit and tannins. A stalky, black currant element adds texture as well as a fresh aftertaste. Drink from 2016."
Bordeaux-style Red Blend,"This is a firmly textured wine, with tannins pushing through the black currant fruit. It is beginning to show a balanced structure and a smooth, smoky character that's leavened by acidity and juicy fruit."
Bordeaux-style Red Blend,"Good and dry, but awkward, with slightly vegetal flavors sticking through riper ones of blackberries and black currants. The acid-tannin relationship also is unbalanced. Redeems itself on the finish, with a flourish of chocolate."
Bordeaux-style Red Blend,"This unusual Bordeaux-style blend has a substantial amount (61%) of Petit Verdot, yet that often-inky and tannic grape does not overwhelm the other four, and gives the wine a powerful foundation. The palate broadens out with generous black fruits, polished tannins, and lively acidity, finishing with a bit of cedar and a whiff of roasted meat."
Bordeaux-style Red Blend,"A hard-edged wine, it's very firm and very dry. It is all structure, showing little in the way of fruit potential."
Bordeaux-style Red Blend,"A solid, fruity wine supported by ripe tannins. The wine has a good sense of its rich self, a fine presence of ripe plum fruit flavors and a warm texture. There is a fine juicy aftertaste."
Bordeaux-style Red Blend,"This Bordeaux-style blend is Baer's top wine. A bright bouquet of violet, berry, pepper and stone greets you at first sniff, and it gets better and better from there. Dark fruits weave through a supple and striated flavor palette, long and detailed."
Bordeaux-style Red Blend,"While there are firm tannins here, the wine also has rich fruit. The two together, allied to the concentration, promise some good aging for a solidly made wine. Fine acidity cuts through in the aftertaste. Drink from 2017."
